1,8.3/10,100%,95/100,Won 1 Oscar. 27 wins & 23 nominations total
2,7.0/10,55%,39/100,4 wins & 11 nominations
3,6.7/10,17%,46/100,2 wins & 2 nominations
4,6.0/10,60%,,9 wins & 10 nominations
5,6.0/10,52%,49/100,1 win & 2 nominations
6,8.2/10,87%,76/100,14 nominations
7,6.3/10,63%,56/100,Nominated for 2 Oscars. 2 wins & 6 nominations total
8,5.5/10,25%,,1 win & 5 nominations
9,5.8/10,50%,,
10,7.2/10,80%,65/100,Nominated for 2 BAFTA Film 2 wins & 8 nominations total
11,6.8/10,91%,67/100,Nominated for 1 Oscar. 1 win & 10 nominations total
12,5.9/10,11%,,
13,7.1/10,56%,,5 nominations
14,7.1/10,74%,66/100,Nominated for 4 Oscars. 11 wins & 18 nominations total
15,5.7/10,38%,37/100,1 nomination
16,8.2/10,78%,73/100,Nominated for 1 Oscar. 4 wins & 11 nominations total
17,7.7/10,97%,84/100,Won 1 Oscar. 33 wins & 49 nominations total
18,6.8/10,13%,,1 win & 1 nomination
19,6.4/10,25%,45/100,7 wins & 6 nominations
20,5.7/10,22%,,1 nomination
21,6.9/10,88%,82/100,6 wins & 16 nominations
22,6.6/10,79%,54/100,2 wins & 1 nomination
23,6.3/10,16%,,1 win & 1 nomination
24,6.6/10,50%,,2 nominations
25,7.5/10,91%,82/100,Won 1 Oscar. 32 wins & 29 nominations total
26,6.9/10,68%,,3 nominations
27,6.8/10,33%,50/100,1 nomination
28,7.7/10,86%,,7 wins & 2 nominations.
29,7.5/10,79%,73/100,5 wins & 14 nominations
30,7.1/10,90%,77/100,Nominated for 1 Oscar. 5 wins & 4 nominations total
31,6.5/10,31%,47/100,6 wins & 8 nominations
32,8.0/10,88%,74/100,Nominated for 2 Oscars. 10 wins & 25 nominations total
34,6.9/10,97%,83/100,Won 1 Oscar. 20 wins & 26 nominations total
36,7.5/10,95%,80/100,Won 1 Oscar. 23 wins & 23 nominations total
38,5.9/10,8%,45/100,1 win & 3 nominations
39,6.9/10,,68/100,6 wins & 11 nominations
40,6.8/10,85%,71/100,1 win & 4 nominations
41,7.4/10,96%,,Nominated for 2 Oscars. 7 wins & 12 nominations total
42,6.9/10,47%,,2 nominations
43,6.6/10,71%,66/100,Won 2 Oscars. 2 wins & 2 nominations total
44,5.8/10,45%,60/100,1 win & 3 nominations
45,6.8/10,88%,86/100,Nominated for 1 BAFTA Film Award7 wins & 13 nominations total
46,6.3/10,63%,,4 nominations
47,8.6/10,82%,65/100,Nominated for 1 Oscar. 29 wins & 43 nominations total
48,6.7/10,55%,58/100,Won 2 Oscars. 15 wins & 7 nominations total
49,6.6/10,50%,,5 nominations
50,8.5/10,88%,77/100,Won 2 Oscars. 37 wins & 17 nominations total
52,7.0/10,78%,59/100,Won 1 Oscar. 12 wins & 13 nominations total
53,7.5/10,91%,,21 wins & 18 nominations
54,5.6/10,0%,,
55,6.6/10,80%,81/100,Nominated for 1 Oscar. 4 wins & 7 nominations total
57,6.6/10,64%,56/100,2 nominations
58,7.7/10,94%,81/100,Won 1 Oscar. 32 wins & 20 nominations total
60,6.0/10,74%,58/100,1 win & 6 nominations
61,6.2/10,,,
62,7.3/10,75%,59/100,Nominated for 1 Oscar. 5 wins & 5 nominations total
63,6.6/10,30%,53/100,1 nomination
64,5.3/10,13%,,
65,4.5/10,4%,1/100,3 wins & 1 nomination
66,2.5/10,10%,29/100,1 nomination
68,6.4/10,55%,,3 wins & 6 nominations
69,7.3/10,,54/100,1 win & 5 nominations
70,7.2/10,61%,48/100,7 wins & 13 nominations
71,4.3/10,12%,13/100,4 nominations
72,6.7/10,57%,75/100,2 nominations
73,7.5/10,81%,,Nominated for 1 BAFTA Film Award6 wins & 3 nominations total
74,6.1/10,19%,,
75,4.8/10,0%,,3 wins
76,6.3/10,29%,,3 nominations
77,7.2/10,88%,,4 wins
78,6.3/10,75%,46/100,4 nominations
79,5.7/10,18%,,1 win & 2 nominations
80,7.7/10,81%,,5 wins & 4 nominations
81,6.8/10,33%,46/100,2 wins
82,7.5/10,68%,,Won 1 Oscar. 8 wins & 10 nominations total
83,7.4/10,71%,,3 wins & 2 nominations
85,6.8/10,68%,,Nominated for 1 Oscar. 2 wins & 3 nominations total
86,6.6/10,57%,53/100,1 nomination
87,5.4/10,12%,54/100,4 nominations
88,6.3/10,28%,,
89,6.3/10,32%,,
92,5.8/10,26%,44/100,6 nominations
93,4.6/10,12%,27/100,1 nomination
94,7.1/10,79%,64/100,1 win & 3 nominations
95,6.1/10,53%,61/100,4 nominations
96,7.2/10,81%,,2 nominations
97,8.1/10,100%,,8 wins & 15 nominations
99,6.5/10,75%,,1 nomination.
100,6.2/10,56%,,1 nomination
101,6.9/10,85%,66/100,2 wins & 1 nomination
102,3.8/10,10%,,1 win & 2 nominations
103,6.0/10,21%,,1 win
104,7.0/10,61%,31/100,1 win & 4 nominations
105,7.6/10,90%,69/100,Nominated for 1 Oscar. 7 wins & 18 nominations total
106,7.2/10,67%,,3 wins & 1 nomination
107,7.0/10,71%,64/100,5 nominations
108,7.0/10,38%,,
110,8.3/10,78%,68/100,Won 5 Oscars. 33 wins & 34 nominations total
111,8.2/10,96%,94/100,Nominated for 4 Oscars. 22 wins & 20 nominations total
112,6.8/10,80%,61/100,2 wins & 11 nominations
113,6.1/10,32%,,
116,8.1/10,97%,,Won 1 Oscar. 9 wins & 6 nominations total
117,7.1/10,86%,,1 win & 2 nominations
118,4.9/10,18%,,
119,4.9/10,15%,,
121,7.6/10,100%,,12 wins & 5 nominations.
122,5.6/10,44%,45/100,1 win & 5 nominations
123,8.1/10,87%,78/100,10 wins & 23 nominations
125,6.7/10,87%,81/100,1 win & 10 nominations
126,3.2/10,,,1 nomination
128,7.1/10,80%,,3 wins & 1 nomination
129,5.8/10,,,
132,5.3/10,13%,33/100,2 nominations
135,6.2/10,11%,39/100,
137,5.8/10,25%,,
140,6.2/10,31%,,Nominated for 1 Oscar. 3 wins & 3 nominations total
141,7.2/10,81%,72/100,Nominated for 1 Oscar. 7 wins & 25 nominations total
144,6.6/10,89%,73/100,4 wins & 1 nomination
145,6.8/10,42%,41/100,4 nominations
146,5.7/10,20%,,3 nominations
147,7.3/10,47%,46/100,
148,5.9/10,36%,,2 nominations
149,6.9/10,79%,53/100,1 win & 2 nominations
150,7.7/10,96%,77/100,Won 2 Oscars. 28 wins & 59 nominations total
151,6.9/10,73%,55/100,Nominated for 1 Oscar. 2 wins & 5 nominations total
152,6.5/10,76%,,5 wins & 4 nominations
153,5.4/10,40%,51/100,Nominated for 3 Oscars. 10 wins & 26 nominations total
154,7.7/10,95%,,Nominated for 1 BAFTA Film Award7 wins & 7 nominations total
155,6.6/10,38%,,2 wins & 3 nominations
156,6.7/10,43%,54/100,2 nominations
157,5.9/10,13%,,
158,6.1/10,51%,49/100,4 wins & 5 nominations
159,6.9/10,72%,71/100,6 nominations
160,5.3/10,22%,22/100,2 wins & 11 nominations
161,7.3/10,88%,66/100,Nominated for 3 Oscars. 5 wins & 9 nominations total
162,8.0/10,95%,93/100,17 wins & 6 nominations
163,7.2/10,67%,55/100,1 win & 5 nominations
164,6.7/10,91%,78/100,3 wins & 13 nominations
165,7.6/10,59%,58/100,2 wins & 3 nominations
166,6.2/10,49%,48/100,2 nominations
168,6.0/10,43%,57/100,
169,5.1/10,50%,,2 wins & 2 nominations
170,6.3/10,31%,46/100,
171,6.8/10,68%,,1 win & 4 nominations
172,5.7/10,19%,36/100,2 wins & 3 nominations
173,5.6/10,22%,,2 wins & 5 nominations
174,4.2/10,0%,,1 win & 1 nomination
175,7.1/10,46%,63/100,1 win & 5 nominations
176,7.5/10,88%,81/100,7 wins & 8 nominations
177,6.1/10,60%,,2 wins & 1 nomination
178,6.7/10,69%,,1 win & 3 nominations
179,5.4/10,,,
180,7.1/10,57%,41/100,
181,5.3/10,34%,40/100,1 nomination
183,6.7/10,83%,,3 wins & 3 nominations
184,6.1/10,,64/100,2 wins & 5 nominations
185,5.9/10,42%,51/100,2 wins
186,5.5/10,25%,47/100,1 win & 2 nominations
187,6.6/10,79%,55/100,1 nomination
188,6.5/10,43%,44/100,2 wins & 4 nominations
189,5.1/10,14%,,
190,7.2/10,87%,76/100,4 wins & 12 nominations
191,5.3/10,13%,,1 win & 10 nominations
193,4.9/10,22%,16/100,10 wins & 10 nominations
194,7.4/10,93%,70/100,12 wins & 9 nominations
195,5.7/10,39%,62/100,1 win & 3 nominations
196,5.8/10,42%,49/100,3 wins & 8 nominations
198,7.2/10,65%,66/100,2 wins & 4 nominations
199,7.8/10,98%,86/100,Nominated for 5 Oscars. 6 wins & 7 nominations total
201,6.1/10,13%,,1 nomination
202,6.5/10,25%,42/100,1 nomination
203,6.6/10,41%,60/100,3 nominations
204,5.5/10,34%,52/100,
205,6.7/10,75%,70/100,Nominated for 1 Oscar. 3 nominations total
206,6.4/10,80%,,2 wins & 2 nominations
207,6.7/10,46%,54/100,1 win & 6 nominations
208,6.2/10,47%,56/100,Nominated for 1 Oscar. 6 wins & 9 nominations total
209,5.3/10,24%,,
210,5.9/10,42%,,3 nominations
211,7.2/10,78%,,Nominated for 1 BAFTA Film Award1 win & 3 nominations total
212,5.6/10,10%,,
213,7.9/10,80%,,Won 1 Oscar. 5 wins & 10 nominations total
214,7.9/10,92%,,Nominated for 1 Oscar. 30 wins & 5 nominations total
215,8.1/10,100%,77/100,1 win & 7 nominations
216,6.4/10,41%,16/100,1 nomination
217,4.3/10,29%,,
218,6.5/10,74%,61/100,1 win & 2 nominations
219,7.7/10,45%,,2 wins & 3 nominations
220,6.0/10,57%,,1 win.
222,6.6/10,78%,70/100,1 win
223,7.7/10,90%,70/100,6 wins & 11 nominations
224,6.7/10,70%,63/100,Nominated for 1 Oscar. 4 wins & 5 nominations total
225,6.1/10,59%,58/100,2 wins & 2 nominations
227,5.6/10,41%,,
228,4.6/10,17%,,
229,7.3/10,82%,72/100,5 nominations
230,7.4/10,85%,62/100,1 win & 8 nominations
231,7.3/10,67%,41/100,5 wins & 3 nominations
232,7.8/10,88%,,Nominated for 1 Oscar. 7 wins & 16 nominations total
233,7.1/10,94%,71/100,16 wins & 12 nominations
234,4.3/10,5%,,1 win & 4 nominations
235,7.8/10,92%,70/100,Won 2 Oscars. 27 wins & 34 nominations total
236,6.6/10,50%,50/100,2 nominations
237,6.5/10,48%,,1 win
238,6.3/10,57%,,3 nominations
239,6.9/10,61%,,5 nominations
240,5.3/10,20%,,1 nomination
241,6.7/10,27%,,2 nominations
242,6.8/10,60%,,Nominated for 1 Oscar. 6 wins & 4 nominations total
243,3.7/10,21%,,1 win
246,8.3/10,98%,98/100,Nominated for 1 Oscar. 22 wins & 9 nominations total
247,7.3/10,93%,86/100,Nominated for 1 Oscar. 17 wins & 15 nominations total
248,6.0/10,14%,,
249,7.4/10,56%,,1 nomination
250,6.7/10,29%,42/100,
251,6.0/10,8%,,
252,6.2/10,43%,66/100,
253,7.5/10,64%,59/100,Nominated for 2 Oscars. 24 wins & 36 nominations total
254,5.7/10,31%,45/100,2 nominations
255,4.7/10,17%,,
256,4.7/10,38%,59/100,Nominated for 1 Oscar. 5 nominations total
257,6.4/10,26%,48/100,1 win
258,4.8/10,5%,34/100,1 nomination
259,5.9/10,67%,,1 nomination
260,8.6/10,92%,90/100,Won 7 Oscars. 63 wins & 29 nominations total
261,7.3/10,,87/100,Nominated for 3 Oscars. 7 wins & 20 nominations total
262,7.6/10,97%,83/100,Nominated for 2 Oscars. 3 wins & 9 nominations total
263,7.4/10,75%,,6 wins & 4 nominations
265,7.1/10,87%,86/100,Nominated for 1 BAFTA Film Award26 wins & 13 nominations total
266,7.5/10,,45/100,Won 1 Oscar. 3 wins & 12 nominations total
